industry,region,target_audience,performance_tier,headline_1,headline_2,description_1,description_2,description_3,keywords,simulated_impressions,simulated_clicks,simulated_conversions,simulated_cost,simulated_ctr,simulated_conversion_rate,simulated_cpc,simulated_cpa
Hair Salon,"London, UK",Local Residents,high,"Stylish Hair, London",Best Hair Salon Near You,"Book your appointment today! Expert stylists, top brands.  Free consultations.",Get the perfect cut & colour.  Offers available.  Call us now!,"Luxury hair salon in London.  Balayage, highlights, extensions.  Book online.","hair salon london, hairdresser london, best hair salon near me, hair appointment london, hairstylist london",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Munich, Germany",Professionals,mid,Stylish Cuts for Professionals,Munich's Best Hair Salon,Premium hair services for busy professionals. Book online!,"Expert stylists, convenient location. Get your perfect look.","Modern salon, top quality products. Appointments available now.","hairdresser Munich, professional haircuts Munich, hair salon near me, best hair salon Munich professionals, hairstylist appointment Munich",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"New York, USA",Brides-to-be,mid,Bridal Hair Styling NYC,Wedding Hair & Makeup,Gorgeous bridal hairstyles. Book your consultation today!,Experienced stylists specializing in wedding hair.  Free quote!,Get the perfect bridal look.  Call us for appointment.,"bridal hair stylist new york, wedding hair nyc, bridal makeup new york, wedding hair and makeup, bridal hair appointment",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Sydney, Australia",Fashion-conscious Young Adults,mid,Trendy Haircuts in Sydney,"Stylish Hair, Sydney Experts","Book your appointment today!  Top stylists, latest trends.",Fashion-forward cuts & colours.  Free consultations.,"Get the perfect look.  Modern salon, central Sydney.","hairstylist sydney, hair salon sydney cbd, fashion hair sydney, trendy haircuts sydney, balayage sydney",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"London, UK",Brides-to-be,mid,Bridal Hair Styling London,Wedding Hair Updos & Makeup,Luxury bridal hair services in London. Book your trial today!,Expert stylists creating stunning wedding hairstyles. Get your perfect look!,Award-winning salon specialising in bridal hair.  Free consultations available.,"bridal hair london, wedding hair stylist london, bridal hair updo, wedding hair trial london, bride hair and makeup",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Toronto, Canada",Professionals,low,Stylish Cuts for Busy Pros,Toronto's Best Salon for Professionals,"Quick, professional haircuts. Book online!",Convenient location downtown Toronto. Free consultations.,Expert stylists catering to professionals' needs.,"haircut toronto, professional haircuts toronto, downtown toronto salon, salon near me professionals, quick hair appointment toronto",2345,45,1,78,1.92,2.22,1.73,78.0
Hair Salon,"Los Angeles, USA",Professionals,mid,Stylish Cuts for Busy Pros,LA's Best Salon for Professionals,"Quick, professional haircuts. Book online!",Upscale salon near you. Convenient appointments.,Expert stylists. Modern cuts. Perfect for professionals.,"haircut los angeles, professional hair salon los angeles, best hair salon downtown la, express haircuts near me, corporate hairstyles",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Sydney, Australia",Fashion-conscious Young Adults,high,"Trendy Hair, Sydney Style",Get the Look. Book Now!,Top stylists. Fashion-forward cuts & colours. Book your appointment today!,"Balayage, highlights, extensions.  Modern salon in Sydney's CBD.",Affordable luxury.  Stylish haircuts & colour.  Free consultations.,"hair salon sydney, hairstylist sydney, fashion hair sydney, balayage sydney, hair extensions sydney",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Los Angeles, USA",Professionals,low,Stylish Cuts for Busy Pros,LA's Best Salon for Professionals,"Quick, professional haircuts. Book online today!",Upscale salon near you. Convenient appointments.,Relax & refresh. Expert stylists for professionals.,"professional haircuts los angeles, upscale salon downtown la, hairstylist near me professionals, quick hair appointment los angeles, best salon for professionals la",3200,85,2,100,2.66,2.35,1.18,50.0
Hair Salon,"New York, USA",Professionals,mid,Stylish Cuts for Busy Pros,NYC's Best Salon for Professionals,"Quick, professional haircuts. Convenient booking. Top stylists. Book now!",Upscale salon near you. Expert color & styling.  Perfect for busy schedules.,"Modern cuts, expert color.  Stress-free salon experience. Book your appointment.","professional haircuts nyc, hairstylist near me professional, upscale salon manhattan, quick hair appointments nyc, best hair salon for professionals",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"New York, USA",Professionals,mid,Stylish Cuts for Busy Pros,NYC's Top Salon for Professionals,"Quick, expert cuts & color. Convenient booking. Near you!",Upscale salon for professionals. Book your appointment today!,"Stress-free hair, stress-free scheduling. Book online now!","haircut professionals nyc, professional hair salon manhattan, upscale salon near me, book hair appointment online, best hair stylist new york city",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Tokyo, Japan",Brides-to-be,high,Tokyo Bridal Hair Styling,Wedding Hair & Makeup Experts,Stunning bridal hairstyles. Book your consultation today!,Expert stylists for your perfect wedding day look. Free consultation.,"Elegant updos, loose waves & more.  Special bridal packages available.","ブライダルヘア 東京, 結婚式 ヘアセット 東京, ウェディングヘアメイク 東京, ブライダルヘアサロン 東京, 花嫁ヘアスタイル",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Rome, Italy",Local Residents,high,"Stunning Hair, Rome's Best!",Book Your Appointment Today!,"Expert stylists, top brands.  Call now for a free consultation!","Modern salon, luxurious experience.  Near you in Rome!",Special offers available!  Visit our website for details.,"hair salon rome, hairdresser rome, best hair salon rome, hair styling rome, hair cut rome",35000,1800,50,500,5.14,2.78,0.28,10.0
Hair Salon,"Toronto, Canada",Brides-to-be,mid,Bridal Hair Styling in Toronto,Wedding Hair: Look & Feel Amazing,Expert bridal hair stylists. Book your consultation today!  Free consultations available.,Gorgeous wedding hairstyles.  Special bridal packages.  Call now!,Make your wedding day perfect with flawless hair.  Top Toronto salon.,"bridal hair stylist toronto, wedding hair toronto, bridal hair updo, wedding hair salon toronto, Toronto bridal makeup and hair",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Sydney, Australia",Local Residents,low,Stylish Haircuts in Sydney,Book Your Appointment Now!,Top Sydney hair salon. Expert stylists. Book online!,Affordable haircuts & styling. Call us today!,New client special offers available. Visit our site!,"hair salon sydney, haircut sydney, hair stylist sydney, best hair salon sydney, cheap hair salon sydney",2345,45,1,78,1.92,2.22,1.73,78.0
Hair Salon,"Paris, France",Local Residents,low,Coiffure Paris: Styles Trendy,Salon de Coiffure près de chez vous,Rendez-vous en ligne. Meilleurs prix.  Qualité garantie.,"Coloration, coupe, brushing.  Experts en coiffure.",Offres spéciales!  Découvrez nos services capillaires.,"coiffeur paris, salon de coiffure paris, coupe de cheveux paris, coloration cheveux paris, coiffeur près de moi paris",2300,55,1,87,2.39,1.82,1.58,87.0
Hair Salon,"Toronto, Canada",Fashion-conscious Young Adults,high,Trendy Haircuts in Toronto,Style Your Best Look Here,"Book your appointment today!  Top stylists, latest trends.",Fashion-forward hair salon.  Affordable luxury awaits!,Get the perfect cut & color.  Call or book online now!,"hair salon toronto, trendy haircuts toronto, fashion hair salon, young adult hairstyles, best hair stylists toronto",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Paris, France",Brides-to-be,mid,Mariage: Coiffure de Rêve,Belle le Jour J: RDV Coiffure,Votre coiffure de mariage à Paris.  Experts en chignons et tresses. Prenez RDV!,Essayage coiffure mariée gratuit.  Offre spéciale mariage. Réservez dès maintenant!,Coiffure mariage sur mesure.  Créez le look parfait pour votre grand jour.,"coiffure mariage paris, chignon mariage paris, tresse mariage paris, essayage coiffure mariée paris, coiffeur mariage paris",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Sydney, Australia",Fashion-conscious Young Adults,high,Trendy Haircuts in Sydney,Style Your Best Hair Yet,"Book your appointment today!  Expert stylists, latest trends.",Fashion-forward hair salon in Sydney CBD.  Free consultations.,"Get the perfect look.  Balayage, highlights, & more!","hairstylist sydney, hair salon sydney cbd, fashion hair sydney, balayage sydney, hair appointment sydney",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Rome, Italy",Brides-to-be,low,Wedding Hair Styling Rome,Bridal Hair & Makeup Rome,Stunning bridal hairstyles. Book your consultation today!,Expert wedding hair stylists in Rome.  Special offers available.,Your dream wedding look starts here.  Call us for a free quote.,"acconciature sposa roma, trucco sposa roma, hair stylist wedding rome, bridal hair rome, wedding makeup rome",3250,85,2,100,2.62,2.35,1.18,50.0
Hair Salon,"Munich, Germany",Brides-to-be,high,Brautstyling München,Hochzeit Frisuren Spezialist,"Traumhafte Brautfrisuren in München.  Professionelles Team, individueller Service. Jetzt Termin buchen!",Hochzeit perfekt stylen!  Beratung & Probefrisur inklusive. Exklusive Angebote für Bräute.,"Ihr perfekter Hochzeit Look:  Make-up & Frisur aus einer Hand. Top Bewertungen, beste Qualität.","Brautstyling München, Hochzeit Frisuren München, Brautfrisur, Braut Make-up München, Hochzeit Haarstyling",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Toronto, Canada",Professionals,mid,Stylish Cuts for Busy Pros,Toronto's Best Salon for Professionals,"Quick, professional haircuts. Book online today!",Convenient location downtown Toronto.  Free consultations.,Upscale salon with experienced stylists.  Special offers available.,"hair salon toronto, professional haircuts toronto, downtown toronto salon, best hair salon professionals, upscale hair salon toronto",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Sydney, Australia",Local Residents,high,Stylish Haircuts in Sydney,Book Your Appointment Today!,Top Sydney hair salon. Expert stylists.  Book online now!,"Hair colouring, cuts & styling. Special offers available.",Luxury hair salon in Sydney.  Experience the difference.,"hair salon sydney, hairdresser sydney, hair stylist sydney, best hair salon sydney, hair salon near me",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Munich, Germany",Brides-to-be,high,Hochzeit Frisuren München,Brautfrisuren: Ihr Traumtag,Professionelle Brautfrisuren in München. Termin vereinbaren!,Perfekte Hochzeit Frisur? Beratung & Styling. Jetzt buchen!,"Individuelle Brautfrisuren, Make-up & Probefrisur. Top Bewertungen!","Brautfrisur München, Hochzeit Frisuren, Brautstyling München, Hochzeit Make-up München, Braut Haarstyling",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"New York, USA",Professionals,low,Stylish Cuts for Busy Pros,NYC Hair Salon: Fast & Chic,"Quick, professional haircuts. Book online!",Convenient location near your office. Top stylists.,Affordable luxury for the modern professional.,"professional haircuts nyc, hairstylist near me, quick hair appointments, affordable salon nyc, downtown salon",2345,87,1,78,3.71,1.15,0.9,78.0
Hair Salon,"Toronto, Canada",Professionals,mid,Stylish Cuts for Busy Pros,Toronto's Best Salon for Professionals,"Quick, professional haircuts. Book online today!",Convenient downtown location.  Expert stylists.,High-quality hair services tailored to your needs.,"hair salon toronto, professional haircuts toronto, downtown toronto salon, best hair salon professionals, hairstylist near me",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Paris, France",Brides-to-be,low,Mariage: Coiffure de rêve!,"Votre Jour J, Coiffure Parfaite",Prenez rendez-vous pour une coiffure de mariage unique à Paris.,Essai coiffure mariée offert.  Trouvez votre style parfait!,Coiffeur professionnel pour mariage.  Prix abordables.,"coiffure mariage paris, essai coiffure mariée paris, coiffeur mariage france, mariage coiffure, coiffure mariée",3250,85,2,75,2.62,2.35,0.88,37.5
Hair Salon,"Berlin, Germany",Professionals,high,Stylish Cuts for Professionals,Berlin's Best Hair Salon for Busy Professionals,"Quick, professional haircuts & styling. Book online now!",Premium hair services tailored to your busy schedule.  Free consultations.,"Expert stylists, convenient location. Experience the difference.","hairdresser Berlin professionals, professional haircut Berlin, best hair salon Berlin Mitte, express haircut Berlin, stylish hairstyles Berlin professionals",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Rome, Italy",Local Residents,mid,"Stunning Hair, Rome",Book Your Appointment Now!,"Expert stylists, trendy cuts. Book online!",Affordable luxury hair salon in the heart of Rome.,"Color, cuts, styling & more! Special offers inside!","parrucchiere roma, hairdresser rome, hair salon near me rome, hairstylist roma, best hair salon rome",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"London, UK",Local Residents,mid,Stylish Haircuts in London,Book Your Appointment Today!,Top London hair salon. Expert stylists. Book online now!,Affordable luxury hair care. Special offers available.,Get the perfect look. Call us for a consultation.,"hair salon london, hairdresser london, hair stylist near me, best hair salon london, affordable hair salon london",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"London, UK",Professionals,low,Stylish Cuts for Busy Professionals,London Hair Salon: Book Now,"Quick, professional haircuts near you. Book online!",Affordable luxury hair care for discerning clients.,Expert stylists. Convenient location in Central London.,"haircut london, professional hair salon london, city hair salon, hairstylist near me, book hair appointment online",2345,45,1,78,1.92,2.22,1.73,78.0
Hair Salon,"Toronto, Canada",Fashion-conscious Young Adults,low,Trendy Haircuts in Toronto,"Style Your Hair, Own Your Look","Book your appointment today!  Top stylists, best prices.",Fashion-forward cuts & colors.  See our Instagram!,Get the perfect look for your next event. Call now!,"hair salon toronto, trendy haircuts toronto, hair stylist toronto, fashion hair toronto, best hair salon downtown toronto",2500,50,1,75,2.0,2.0,1.5,75.0
Hair Salon,"Tokyo, Japan",Professionals,low,Stylish Haircuts for Professionals,Tokyo's Best Salon for Busy Professionals,"Quick, professional haircuts near you. Book online today!",Modern salon with experienced stylists. Convenient location.,High-quality hair care for the discerning professional.,"professional haircuts tokyo, hairstylist tokyo professionals, salon near me tokyo, best hair salon tokyo, quick haircuts tokyo",3200,85,2,95,2.66,2.35,1.12,47.5
Hair Salon,"Los Angeles, USA",Fashion-conscious Young Adults,high,Trendy LA Hair Salon,Stylish Cuts & Colors,Book your appointment today!  LA's hottest hair stylists await.,"Fashion-forward cuts, expert colorists.  Call now!",Get the perfect look for your next event.  Free consultations.,"hair salon los angeles, trendy hairstyles LA, fashion hair salon, best hair stylists los angeles, hair color los angeles",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Berlin, Germany",Local Residents,high,Haarstyling Berlin,Top Friseur in Berlin,"Buche jetzt deinen Termin! Top Qualität, faire Preise. ","Professionelle Haarschnitte, Färben & Styling. Jetzt online buchen!",Exklusive Haarpflegeprodukte.  Modernes Ambiente.  Vereinbare deinen Termin!,"friseur berlin, haarschnitt berlin, haarfarben berlin, hairstyling berlin, friseursalon berlin",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Berlin, Germany",Professionals,high,Stylish Cuts for Busy Professionals,Premium Haircare in Berlin Mitte,"Book your appointment online! Expert stylists, convenient location.  Fast & efficient service.","Modern salon, professional cuts & colours.  Special offers for first-time clients.",Relax and refresh.  Quick appointments tailored for your schedule. Top-quality products.,"hairdresser Berlin, professional hairstylist Berlin, salon appointment Berlin, business haircut Berlin, premium hair salon Berlin",35000,1500,50,500,4.29,3.33,0.33,10.0
Hair Salon,"Munich, Germany",Brides-to-be,mid,Hochzeit Frisuren München,Brautfrisuren: Ihr Traumtag,Professionelle Brautfrisuren in München. Hochzeit Make-up & Styling. Jetzt Termin vereinbaren!,Exklusive Brautfrisuren für Ihren großen Tag. Beratung & Probefrisur möglich. Top Stylisten!,Perfekte Brautfrisur & Make-up für Ihre Hochzeit in München. Individuelle Beratung.,"Brautfrisur München, Hochzeit Frisur München, Brautstyling München, Hochzeit Make up München, Braut Hochzeit München",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Toronto, Canada",Professionals,mid,Stylish Cuts for Busy Pros,Toronto's Best Salon for Professionals,"Quick, professional haircuts & styles. Book online today!","Convenient location, experienced stylists.  Free consultations.",Upscale salon in downtown Toronto.  Special offers for professionals.,"hair salon toronto, professional haircuts toronto, upscale hair salon downtown toronto, best hair salon near me, hairstylist toronto professionals",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"London, UK",Fashion-conscious Young Adults,mid,Trendy Haircuts in London,"Stylish Hair, London's Best","Book your appointment today!  Top stylists, latest trends.",Fashion-forward hair cuts & colours.  Free consultations.,Get the perfect look.  Expert stylists near you in London.,"hairdresser london, trendy hairstyles london, fashion hair salon london, best hair salon london, hair appointment london",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"London, UK",Local Residents,mid,Stylish Haircuts in London,Book Your London Hair Appointment,Top-rated salon in London.  Call for an appointment today!,"Expert stylists, amazing prices.  Book online now!","Hair colouring, cuts & styling.  Find your perfect look.","hair salon london, hairdresser london, hair stylist london, best hair salon london, hair appointment london",10000,500,15,150,5.0,3.0,0.3,10.0
Hair Salon,"Tokyo, Japan",Local Residents,low,Stylish Haircuts in Tokyo,Tokyo's Best Hair Salon,Book your appointment today!  Affordable prices & expert stylists.,Get the perfect look.  Near you in Tokyo. Call now!,Experience luxury hair care.  Special offers available.,"ヘアサロン 東京, 美容室 東京, ヘアカット 東京, ヘアカラー 東京, 髪型 東京",2345,45,1,75,1.92,2.22,1.67,75.0
Roofing Company,"Rome, Italy",New Homeowners,mid,Nuovi tetti? Scegli i migliori!,Tetti Roma: Qualità e convenienza,Installazione tetti a Roma. Preventivi gratuiti. Materiali di alta qualità.,Esperienza decennale. Garanzia 10 anni. Chiamaci oggi!,Soluzioni personalizzate per la tua nuova casa. Contattaci!,"tetto nuovo roma, copertura tetti roma, installazione tetti roma, ristrutturazione tetti roma, preventivo tetto roma",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"Los Angeles, USA",Real Estate Investors,low,Roof Repair for LA Investors,Boost Property Value with New Roofs,"Fast, reliable roofing services for rental properties. Get a free quote today!","Increase ROI with durable, affordable roofing solutions. Call now!",Expert roofing contractors serving LA real estate investors.  We handle all repairs.,"roof repair los angeles, commercial roofing los angeles, real estate roofing, rental property roof repair, investment property roofing",2350,45,1,75,1.91,2.22,1.67,75.0
Roofing Company,"Paris, France",New Homeowners,mid,Toitures neuves Paris,Couvreurs expérimentés Paris,Installation de toitures neuves. Garantie 10 ans. Devis gratuit!,Professionnels certifiés. Matériaux de qualité supérieure. Appelez-nous!,Toits résistants et durables. Prix compétitifs. Contactez-nous dès aujourd'hui!,"toit neuf paris, installation toiture paris, couvreur paris, rénovation toiture paris, devis toiture paris",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"Berlin, Germany",New Homeowners,mid,Neues Dach? Wir helfen!,Dachdecker Berlin: Top Qualität,Kostenlose Beratung & Angebot.  Beste Materialien. Jetzt anrufen!,Erstklassige Dachdeckerarbeiten in Berlin.  Faire Preise.,"Neue Häuser, neue Dächer.  Sichern Sie Ihr Zuhause!","Dachdecker Berlin, Dachsanierung Berlin, Neubau Dach Berlin, Dachdeckung Berlin, Ziegel Dach Berlin",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"London, UK",New Homeowners,high,New Roof? London Experts,Roofing for New Homes,High-quality roofing installations. Free quotes! Call now.,Experienced roofers serving London.  Get a bespoke quote today.,Protect your new home. Expert roofing solutions in London.,"new home roofing london, roofing contractors london new build, new build roof installation london, roof repair new homes london, best roofing companies london new homes",35000,1800,50,500,5.14,2.78,0.28,10.0
Roofing Company,"Munich, Germany",Real Estate Investors,low,Dachdecker München,Immobilien Dachsanierung,Wir sanieren & reparieren Dächer für Immobilieninvestoren in München. Kostenlose Beratung!,Steigern Sie den Wert Ihrer Immobilien mit neuen Dächern.  Professionelle Dachdecker in München.,Langjährige Erfahrung in der Dachreparatur und -sanierung für Immobilien in München.,"Dachsanierung München, Dachreparatur Immobilien, Immobilien Dachdecker, Dachdecker München Investoren, Dach Instandhaltung München",3250,85,1,95,2.62,1.18,1.12,95.0
Roofing Company,"Toronto, Canada",Property Managers,low,Toronto Roofing for Property Managers,Reliable Roof Repairs & Maintenance,Expert roofing services. Free estimates. Licensed & insured. Call now!,Protecting your properties with quality roofing solutions.  Competitive pricing.,Prevent costly roof damage.  Schedule a roof inspection today.,"roofing toronto, property management roofing, commercial roofing toronto, roof repair toronto, roof maintenance toronto",3250,85,1,75,2.62,1.18,0.88,75.0
Roofing Company,"Paris, France",Homeowners needing repairs,low,Toiture Paris: Réparations rapides,Fuites? Toit endommagé? Appelez-nous!,Réparation de toitures à Paris.  Devis gratuit. Artisan qualifié.,Toitures neuves et réparations.  Service rapide et fiable. Appelez!,Experts en réparation de toitures.  Prix compétitifs. Garantie.,"réparation toiture paris, fuite toiture paris, toiture endommagée paris, artisan couvreur paris, devis réparation toiture paris",2350,45,1,87,1.91,2.22,1.93,87.0
Roofing Company,"Berlin, Germany",Homeowners needing repairs,low,Dachreparatur Berlin,Dacherneuerung Experten,Schnelle & zuverlässige Dachreparatur in Berlin. Kostenlose Beratung!,Fachmännische Dachdeckerarbeiten.  Qualität zu fairen Preisen.,Undichte Dächer? Wir helfen!  Jetzt anrufen für ein Angebot.,"dachreparatur berlin, dachdecker berlin, undichtes dach, dachsanierung berlin, dachrinnenreinigung berlin",2300,45,1,75,1.96,2.22,1.67,75.0
Roofing Company,"Rome, Italy",New Homeowners,mid,"Nuovi Tetti, Nuova Casa!",Tetti di Qualità a Roma,Installazione tetti professionali. Preventivi gratuiti!,"Migliori materiali, garanzia di qualità. Contattaci!",Esperienza decennale.  Servizio rapido ed efficiente.,"tetti roma, coperture roma, installazione tetti nuovi, ristrutturazione tetti roma, costruttori tetti roma",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"Munich, Germany",Homeowners needing repairs,low,Dachreparatur München,Dacherneuerung Fachmann,Schnelle & zuverlässige Dachreparaturen in München. Kostenlose Beratung!,Leckende Dächer? Wir helfen!  Profis für Dachreparatur in München.,Dachschaden?  Sichern Sie Ihr Haus!  Anfrage jetzt!,"dachreparatur münchen, dachdecker münchen, dachsanierung münchen, dacheindeckung münchen, dachschaden reparatur münchen",3200,85,2,95,2.66,2.35,1.12,47.5
Roofing Company,"Munich, Germany",New Homeowners,low,Neues Dach? Wir helfen!,Dachdecker München - Top Qualität,Kostenlose Beratung & Angebot.  Beste Materialien.  Jetzt anrufen!,Fachmännische Dachreparatur & Neubau.  Langjährige Erfahrung.,Ihr zuverlässiger Partner für Dacharbeiten in München.,"Dachdecker München, Dachreparatur München, Dach Neubau München, Neueindeckung München, Dachsanierung München",3200,85,2,100,2.66,2.35,1.18,50.0
Roofing Company,"Munich, Germany",Property Managers,low,Dachreparatur München,Dacheindeckung für Immobilien,Professionelle Dachdecker in München. Kostenlose Beratung!,Sichern Sie Ihre Immobilien mit unseren robusten Dächern.,Langjährige Erfahrung & beste Qualität. Jetzt anrufen!,"Dachreparatur München, Dacheindeckung München, Dachdecker München Immobilien, Dachsanierung München, Immobilien Dachpflege München",2345,45,1,78,1.92,2.22,1.73,78.0
Roofing Company,"Rome, Italy",Real Estate Investors,mid,Roof Repairs for Investors,Rome Roofing: Increase Property Value,Expert roofing services in Rome.  Free quotes for investors.,Maximize ROI with reliable roof repairs & replacements.,Protect your investment.  Call for a consultation today!,"roof repair rome, roofing contractors rome investors, real estate roof maintenance rome, property roof improvement italy, commercial roofing rome",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"London, UK",New Homeowners,mid,New Roof Installation London,Top Rated Roofers in London,Expert roofers serving London. Free quotes & quality materials. Get a new roof today!,New home? Protect your investment. Reliable roofing services in London. Book now!,Affordable roofing solutions for new homeowners in London. Call us for a consultation.,"new home roofing london, roof installation london, roof repair london, roofers near me london, new build roofing london",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"Los Angeles, USA",Property Managers,low,Roof Repair for Property Managers,LA Roofing Services for Properties,Reliable roofing repairs & maintenance. Free estimates. Call now!,Expert roofing solutions for property managers in Los Angeles.,Protect your properties with our top-rated roofing services.,"property manager roofing, Los Angeles roofing repair, commercial roofing Los Angeles, roof maintenance Los Angeles, property management roofing services",2345,45,1,75,1.92,2.22,1.67,75.0
Roofing Company,"Los Angeles, USA",Real Estate Investors,low,Roof Repairs for LA Investors,Boost Property Value with New Roofs,"Fast, reliable roofing services for your investment properties. Get a free quote!",Experienced roofers specializing in multi-unit buildings.  Maximize ROI.,Protect your investment!  Expert roofing solutions for LA real estate.,"roof repair los angeles, commercial roofing los angeles, real estate roof repair, investment property roofing, multifamily roofing los angeles",3250,85,2,110,2.62,2.35,1.29,55.0
Roofing Company,"Sydney, Australia",Property Managers,mid,Roof Repairs Sydney,Reliable Roofing for PMs,Expert roof repairs & maintenance.  Free quotes for property managers.,"Sydney's trusted roofers.  Fast, reliable service. Get a quote today!",Prevent costly roof damage.  Property manager roof inspections available.,"roof repair sydney, property manager roofing, commercial roofing sydney, roof maintenance sydney, roof inspection sydney",10000,500,15,150,5.0,3.0,0.3,10.0
Roofing Company,"Munich, Germany",New Homeowners,low,Neues Dach? Wir helfen!,Dachdecker München - Top Qualität,Kostenlose Beratung!  Fachmännische Dacharbeiten in München.,Neue Dächer für Ihr Traumhaus.  Jetzt Angebot einholen!,Qualität & Zuverlässigkeit.  Ihr Dach in sicheren Händen.,"Dachdecker München, Neues Dach München, Dachsanierung München, Dacharbeiten München, Dacheindeckung München",2345,45,1,78,1.92,2.22,1.73,78.0
Roofing Company,"Berlin, Germany",Real Estate Investors,low,Dachreparatur Berlin,Immobilien Dachsanierung,Sichern Sie Ihre Investition!  Professionelle Dachreparaturen für Immobilien in Berlin.,Wir sanieren & reparieren Dächer für Immobilien in Berlin. Kostenloses Angebot!,Erhöhen Sie den Wert Ihrer Immobilie mit einem neuen Dach.  Kontaktieren Sie uns!,"Dachreparatur Berlin Immobilien, Dachsanierung Berlin Investoren, Immobilien Dachdecker Berlin, Dachinstandhaltung Berlin, Mehrfamilienhaus Dachreparatur Berlin",3200,85,2,95,2.66,2.35,1.12,47.5
Roofing Company,"Tokyo, Japan",Real Estate Investors,high,Roofing for Investment Properties,Tokyo Roofing: Maximize ROI,"Expert roofing services for real estate investors in Tokyo.  Fast, reliable, and cost-effective.",Increase property value with our high-quality roofing solutions.  Free inspections available.,Protect your investment!  Get a quote for commercial roofing in Tokyo today.,"tokyo roofing contractors, commercial roofing tokyo, real estate roofing repair, investment property roofing, roofing maintenance tokyo",35000,1500,50,500,4.29,3.33,0.33,10.0
Roofing Company,"Berlin, Germany",Homeowners needing repairs,high,Dachreparatur Berlin,Dacheindeckung Experten,Schnelle & zuverlässige Dachreparaturen in Berlin. Kostenloses Angebot!,Experten für Dachreparatur und -sanierung.  Hochwertige Materialien.,Undichte Dächer? Wir helfen!  Professionelle Reparatur zum Festpreis.,"Dachreparatur Berlin, Dacheindeckung Berlin, Dachdecker Berlin, Dachsanierung Berlin, Undichtes Dach Berlin",35000,1500,50,500,4.29,3.33,0.33,10.0
Roofing Company,"New York, USA",Real Estate Investors,high,Roofing for Investment Properties,NY Real Estate Roof Repairs,"Fast, reliable roofing for your NYC investment properties. Free estimates!",Increase property value with a new roof.  Expert NYC roofing services.,Experienced roofers serving real estate investors in New York. Get a quote today!,"roofing new york, real estate roofing, investment property roofing, commercial roofing nyc, roof repair new york city",35000,1500,50,500,4.29,3.33,0.33,10.0
Roofing Company,"Munich, Germany",Real Estate Investors,high,Dachsanierung München,Immobilien Dachreparatur,Sichern Sie Ihre Investition!  Professionelle Dachreparaturen & Sanierungen für Immobilien in München.,Steigern Sie den Wert Ihrer Immobilie mit einem neuen Dach. Kostenloses Angebot!,Experten für Dachdeckerarbeiten an Mietobjekten in München.  Schnelle & zuverlässige Reparaturen.,"Dachsanierung München, Dachreparatur München, Immobilien Dachdecker, Dachdecker München Immobilien, Mietwohnungen Dachreparatur",35000,1500,50,500,4.29,3.33,0.33,10.0
Roofing Company,"New York, USA",Homeowners needing repairs,high,Roof Repair Experts NYC,Emergency Roof Repair Now!,"Fast, Reliable Roof Repairs. Free Estimates! Licensed & Insured.",Leaking Roof? Call Us Today! 24/7 Emergency Service Available.,Top-Rated Roofers in NYC. Quality Workmanship. Guaranteed Results.,"roof repair new york, emergency roof repair nyc, leaking roof repair, roof leak, roof damage repair",35000,1500,50,500,4.29,3.33,0.33,10.0
